Temp,Culture.code,replicate,14.Jun.2023,22.Jun.2023,26.Jun.2023,29.Jun.2023,3.Jul.2023,6.Jul.2023,10.Jul.2023,13.Jul.2023,17.Jul.2023
10,EM31,A,19.635,20.3,20.3,27.961,27.961,27.961,57.325,57.325,113.575
10,EM31,B,19.635,23.539,23.539,41.547,87.942,143.864,224.686,309.651,407.184
10,EM31,C,19.635,23.041,23.041,43.982,73.972,129.524,202.891,253.63,333.013
10,EM31,D,19.635,20.179,20.179,43.376,67.478,107.523,170.423,226.793,323.785
20,EM31,A,19.635,88.215,224.395,399.591,612.273,904.833,1250.348,1539.662,1733.759
20,EM31,B,19.635,120.366,249.594,397.558,646.98,976.919,1322.097,1572.036,1880.352
20,EM31,C,19.635,69.673,226.808,345.939,600.711,896.079,1232.402,1530.6,1841.982
20,EM31,D,19.635,92.375,231.604,392.477,691.337,978.769,1333.723,1701.656,2044.012
24,EM31,A,19.635,241.682,468.931,672.719,969.661,1377.536,1713.432,1713.432,1713.432
24,EM31,B,19.635,194.19,437.032,649.713,1034.661,1383.716,1749.147,2031.165,2295.076
24,EM31,C,19.635,128.121,340.511,529.218,836.626,1127.509,1441.041,1749.29,2004.991
24,EM31,D,19.635,131.347,324.013,522.881,810.922,1055.709,1303.03,1544.113,1794.909
27,EM31,A,19.635,80.583,155.45,246.719,364.871,478.924,607.142,820.456,1012.262
27,EM31,B,19.635,65.15,141.983,256.022,373.019,528.583,698.283,838.898,1027.368
27,EM31,C,19.635,95.126,189.219,304.854,438.233,543.311,543.311,543.311,543.311
27,EM31,D,19.635,77.989,157.952,233.795,321.464,430.42,430.42,430.42,430.42
30,EM31,A,19.635,40.18,40.18,101.298,147.292,205.143,205.143,301.249,386.53
30,EM31,B,19.635,39.902,39.902,102.65,136.852,190.755,263.329,263.329,363.619
30,EM31,C,19.635,43.262,43.262,104.266,148.079,217.32,282.822,282.822,395.347
30,EM31,D,19.635,46.037,46.037,93.54,145.955,145.955,244.958,244.958,349.281
34,EM31,A,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
34,EM31,B,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
34,EM31,C,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
34,EM31,D,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
37,EM31,A,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
37,EM31,B,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
37,EM31,C,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
37,EM31,D,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635,19.635
10,FC55,A,19.635,24.079,68.833,97.716,163.239,237.68,321.817,321.817,424.323
10,FC55,B,19.635,20.768,69.271,100.366,139.986,139.986,274.592,274.592,393.58
10,FC55,C,19.635,32.237,96.23,140.639,223.268,308.05,394.233,493.041,656.998
10,FC55,D,19.635,23.842,70.6,111.253,195.921,292.761,403.311,523.44,688.409
