Full Name	Assembly Length	Genome_size_for_CANU	# Genes	Sequencing depth	Scaffold N50	Scaffold L50 Mbp	n Gaps	n contigs	n scaffolds	Published	JGI prefix	Host_group	ploidy at time of sequence	JF_ploidy_determination	seq platform	Ecology of Original Collection	Host speices for assays	Range_and_region	Culture code
Suillus americanus EM31	"50,809,076"	50.81m	"17,163"	92x	47	0.3	2297	3604	1307	"Lofgren LA et al., 2021"	Suiame1	Soft_pine	Genome is Dikaryon (Yi-Hong) (JGI NA)	Dikaryon	Illumina		Pinus strobus		EM31
Suillus ampliporus FC55	"58,334,580"	58.33m	"16,527"	186.36x	114	0.12	0	"1,601"	"1,507"	"Lofgren LA et al., 2021"	Suiamp1	Larix	NA	Dikaryon	PacBio				FC55
Suillus brevipes Sb2	"52,027,859"	52.03m	"21,458"	101.7x	84	0.16	655	2205	1550	"Branco S et al., 2015"	Suibr2	Hard_pine	Genome is Dikaryon (Yi-Hong) (JGI NA)	Dikaryon	Illumina				Sb2
Suillus brunnescens FC94	"90,082,639"	90.08m	"19,330"	82.08x	241	0.11	0	"1,565"	"1,565"	This paper	Suibru1_1	Soft_pine	NA	NA	PacBio				FC94
Suillus clintonianus FC179	"46,838,326"	46.84m	"15,530"	76.3x	41	0.31	0	288	288	"Lofgren LA et al., 2021"	Suicli1	Larix	NA	Dikaryon	PacBio				FC179
Suillus cothurnatus VC_1858	"94,611,779"	94.61m	"19,836"	45.49x	79	0.32	0	685	685	"Lofgren LA et al., 2021"	Suicot1	Hard_pine	"JGI says Dikaryon, has primary and seconday alleles"	Dikaryon	PacBio		Pinus taeda	Eastern US	VC_1858
Suillus decipiens EM49	"62,784,544"	62.78m	"16,894"	91.3x	48	0.34	2257	3648	1391	"Lofgren LA et al., 2021"	Suidec1	Hard_pine	Genome is Haploid (Yi-Hong) (JGI NA)	Monokaryon	Illumina		Pinus taeda	"Eastern US, esp in the golf states"	EM49
Suillus discolor FC423	"60,609,832"	60.61m	"16,510"	139.02x	43	0.36	0	809	809	"Lofgren LA et al., 2021"	Suidis1	Soft_pine	NA	Dikaryon	PacBio		"Pinus monticola,  Pinus. albicaulis"	"Western US, but broadly distributed at higher elevations."	FC423
Suillus fuscotomentosus FC203	"79,655,913"	79.66m	"18,512"	365.52x	48	0.44	0	737	737	"Lofgren LA et al., 2021"	Suifus1	Hard_pine	NA	Dikaryon	PacBio		"Pinus radiata, Pinus muricata, Pinus ponderosa"	West Coast. Coastal central and northern California and the interior Sierra Nevada mountains	FC203
Suillus hirtellus EM16	"49,942,187"	49.94m	"17,067"	109.5x	36	0.41	982	"1,626"	644	"Lofgren LA et al., 2021"	Suihi1	Hard_pine	Genome is Haploid (Yi-Hong) (JGI NA)	Monokaryon	Illumina		"Pinus taeda, P. echinata, P. virginiana"	Eastern US	EM16
Suillus lakei FC43	"79,746,074"	79.75m	"19,384"	106.11x	89	0.19	0	"1,154"	"1,154"	"Lofgren LA et al., 2021"	Suilak1	Pseudotsuga	NA	Dikaryon	PacBio				FC43
Suillus occidentalis FC124	"57,963,537"	57.96m	"16,030"	306.36x	152	0.09	0	"1,584"	"1,584"	"Lofgren LA et al., 2021"	Suiocc1	Hard_pine	NA	Dikaryon	PacBio		"Pinus contorta, Pinus ponderosa "	"Mainly in the southwest, but broadly distributed"	FC124
Suillus ochraceoroseus FC498	"71,521,688"	71.52m	"17,772"	92.59x	33	0.66	0	606	606	This paper	Suioch1	Larix	NA	Dikaryon	PacBio				FC498
Suillus paluster FC165	"61,993,750"	61.99m	"16,585"	93.23x	48	0.31	0	996	996	"Lofgren LA et al., 2021"	Suipal1	Larix	NA	Dikaryon	PacBio				FC165
